observation_id,grain,season,source_record_id,source_player_id,source_match_id,source_team_id,fixture_attachment_status,fixture_entity_id,home_team_attachment_status,home_team_entity_id,away_team_attachment_status,away_team_entity_id,source_player_identity_status,player_attachment_status,player_entity_id,player_source_identity_ref,team_attachment_status,team_season_id,attachment_basis_player
player_season/2945,player_season,2024-25,,200641,,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,200641,UNRESOLVED,,no existing verified Player Research closure
player_season/2946,player_season,2024-25,,47431,,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,47431,UNRESOLVED,,no existing verified Player Research closure
player_season/2947,player_season,2024-25,,573062,,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,573062,UNRESOLVED,,no existing verified Player Research closure
player_season/2948,player_season,2024-25,,232917,,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,232917,UNRESOLVED,,no existing verified Player Research closure
player_season/2949,player_season,2024-25,,434044,,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,434044,UNRESOLVED,,no existing verified Player Research closure
player_season/2950,player_season,2024-25,,108813,,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,108813,UNRESOLVED,,no existing verified Player Research closure
player_season/2951,player_season,2024-25,,112520,,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,112520,UNRESOLVED,,no existing verified Player Research closure
player_season/2952,player_season,2024-25,,455084,,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,455084,UNRESOLVED,,no existing verified Player Research closure
player_season/2953,player_season,2024-25,,220583,,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,220583,UNRESOLVED,,no existing verified Player Research closure
player_season/2954,player_season,2024-25,,122411,,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,122411,UNRESOLVED,,no existing verified Player Research closure
player_season/2955,player_season,2024-25,,222018,,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,222018,UNRESOLVED,,no existing verified Player Research closure
player_season/2956,player_season,2024-25,,108053,,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,108053,UNRESOLVED,,no existing verified Player Research closure
player_season/2957,player_season,2024-25,,449429,,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,449429,UNRESOLVED,,no existing verified Player Research closure
player_season/2958,player_season,2024-25,,517178,,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,517178,UNRESOLVED,,no existing verified Player Research closure
player_season/2959,player_season,2024-25,,216616,,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,216616,UNRESOLVED,,no existing verified Player Research closure
player_season/2960,player_season,2024-25,,180804,,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,180804,UNRESOLVED,,no existing verified Player Research closure
player_season/2961,player_season,2024-25,,198826,,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,198826,UNRESOLVED,,no existing verified Player Research closure
player_season/2962,player_season,2024-25,,547693,,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,547693,UNRESOLVED,,no existing verified Player Research closure
player_season/2963,player_season,2024-25,,613041,,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,613041,UNRESOLVED,,no existing verified Player Research closure
player_season/2964,player_season,2024-25,,74944,,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,74944,UNRESOLVED,,no existing verified Player Research closure
player_season/2965,player_season,2024-25,,155405,,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,155405,UNRESOLVED,,no existing verified Player Research closure
player_season/2966,player_season,2024-25,,474120,,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,474120,UNRESOLVED,,no existing verified Player Research closure
player_season/2967,player_season,2024-25,,167191,,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,167191,UNRESOLVED,,no existing verified Player Research closure
player_season/2968,player_season,2024-25,,454667,,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,454667,UNRESOLVED,,no existing verified Player Research closure
player_season/2969,player_season,2024-25,,231899,,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,231899,UNRESOLVED,,no existing verified Player Research closure
player_season/2970,player_season,2024-25,,172453,,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,172453,UNRESOLVED,,no existing verified Player Research closure
player_season/2971,player_season,2024-25,,106606,,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,106606,UNRESOLVED,,no existing verified Player Research closure
player_season/2972,player_season,2024-25,,592712,,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,592712,UNRESOLVED,,no existing verified Player Research closure
player_season/2973,player_season,2024-25,,149929,,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,149929,UNRESOLVED,,no existing verified Player Research closure
player_season/2974,player_season,2024-25,,196411,,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,196411,UNRESOLVED,,no existing verified Player Research closure
player_season/2975,player_season,2024-25,,463034,,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,463034,UNRESOLVED,,no existing verified Player Research closure
player_season/2976,player_season,2024-25,,503301,,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,503301,UNRESOLVED,,no existing verified Player Research closure
player_season/2977,player_season,2024-25,,229164,,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,229164,UNRESOLVED,,no existing verified Player Research closure
player_season/2978,player_season,2024-25,,222625,,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,222625,UNRESOLVED,,no existing verified Player Research closure
player_season/2979,player_season,2024-25,,481624,,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,481624,UNRESOLVED,,no existing verified Player Research closure
player_season/2980,player_season,2024-25,,173818,,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,173818,UNRESOLVED,,no existing verified Player Research closure
player_season/2981,player_season,2024-25,,443261,,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,443261,UNRESOLVED,,no existing verified Player Research closure
