observation_id,grain,season,source_record_id,source_player_id,source_match_id,source_team_id,fixture_attachment_status,fixture_entity_id,home_team_attachment_status,home_team_entity_id,away_team_attachment_status,away_team_entity_id,player_attachment_status,player_entity_id,team_attachment_status,team_season_id
team_match/6207,team_match,2024-25,2444534,,2444534,6,VERIFIED,65,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,2024-25:8
team_match/6208,team_match,2024-25,2444534,,2444534,16,VERIFIED,65,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,2024-25:17
team_match/6209,team_match,2024-25,2444535,,2444535,7,VERIFIED,66,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,2024-25:31
team_match/6210,team_match,2024-25,2444535,,2444535,12,VERIFIED,66,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,2024-25:14
team_match/6211,team_match,2024-25,2444536,,2444536,8,VERIFIED,67,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,2024-25:11
team_match/6212,team_match,2024-25,2444536,,2444536,15,VERIFIED,67,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,2024-25:4
team_match/6213,team_match,2024-25,2444537,,2444537,11,VERIFIED,68,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,2024-25:13
team_match/6214,team_match,2024-25,2444537,,2444537,3,VERIFIED,68,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,2024-25:91
team_match/6215,team_match,2024-25,2444538,,2444538,13,VERIFIED,69,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,2024-25:43
team_match/6216,team_match,2024-25,2444538,,2444538,9,VERIFIED,69,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,2024-25:54
team_match/6217,team_match,2024-25,2444539,,2444539,19,VERIFIED,70,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,2024-25:21
team_match/6218,team_match,2024-25,2444539,,2444539,10,VERIFIED,70,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,2024-25:40
team_match/6219,team_match,2024-25,2444540,,2444540,3,VERIFIED,71,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,2024-25:91
team_match/6220,team_match,2024-25,2444540,,2444540,1,VERIFIED,71,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,2024-25:3
team_match/6221,team_match,2024-25,2444541,,2444541,9,VERIFIED,72,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,2024-25:54
team_match/6222,team_match,2024-25,2444541,,2444541,2,VERIFIED,72,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,2024-25:7
team_match/6223,team_match,2024-25,2444542,,2444542,10,VERIFIED,73,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,2024-25:40
team_match/6224,team_match,2024-25,2444542,,2444542,8,VERIFIED,73,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,2024-25:11
team_match/6225,team_match,2024-25,2444543,,2444543,12,VERIFIED,74,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,2024-25:14
team_match/6226,team_match,2024-25,2444543,,2444543,6,VERIFIED,74,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,2024-25:8
team_match/6227,team_match,2024-25,2444544,,2444544,14,VERIFIED,75,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,2024-25:1
team_match/6228,team_match,2024-25,2444544,,2444544,4,VERIFIED,75,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,2024-25:94
team_match/6229,team_match,2024-25,2444545,,2444545,15,VERIFIED,76,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,2024-25:4
team_match/6230,team_match,2024-25,2444545,,2444545,5,VERIFIED,76,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,2024-25:36
team_match/6231,team_match,2024-25,2444546,,2444546,16,VERIFIED,77,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,2024-25:17
team_match/6232,team_match,2024-25,2444546,,2444546,7,VERIFIED,77,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,2024-25:31
team_match/6233,team_match,2024-25,2444547,,2444547,17,VERIFIED,78,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,2024-25:20
team_match/6234,team_match,2024-25,2444547,,2444547,11,VERIFIED,78,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,2024-25:13
team_match/6235,team_match,2024-25,2444548,,2444548,18,VERIFIED,79,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,2024-25:6
team_match/6236,team_match,2024-25,2444548,,2444548,19,VERIFIED,79,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,2024-25:21
team_match/6237,team_match,2024-25,2444549,,2444549,20,VERIFIED,80,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,2024-25:39
team_match/6238,team_match,2024-25,2444549,,2444549,13,VERIFIED,80,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,2024-25:43
team_match/6239,team_match,2024-25,2444550,,2444550,1,VERIFIED,81,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,2024-25:3
team_match/6240,team_match,2024-25,2444550,,2444550,12,VERIFIED,81,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,2024-25:14
team_match/6241,team_match,2024-25,2444551,,2444551,2,VERIFIED,82,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,2024-25:7
team_match/6242,team_match,2024-25,2444551,,2444551,3,VERIFIED,82,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,2024-25:91
team_match/6243,team_match,2024-25,2444552,,2444552,4,VERIFIED,83,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,2024-25:94
team_match/6244,team_match,2024-25,2444552,,2444552,10,VERIFIED,83,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,2024-25:40
team_match/6245,team_match,2024-25,2444553,,2444553,5,VERIFIED,84,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,2024-25:36
team_match/6246,team_match,2024-25,2444553,,2444553,20,VERIFIED,84,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,2024-25:39
team_match/6247,team_match,2024-25,2444554,,2444554,6,VERIFIED,85,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,2024-25:8
team_match/6248,team_match,2024-25,2444554,,2444554,15,VERIFIED,85,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,2024-25:4
team_match/6249,team_match,2024-25,2444555,,2444555,7,VERIFIED,86,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,2024-25:31
team_match/6250,team_match,2024-25,2444555,,2444555,18,VERIFIED,86,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,2024-25:6
team_match/6251,team_match,2024-25,2444556,,2444556,8,VERIFIED,87,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,2024-25:11
team_match/6252,team_match,2024-25,2444556,,2444556,9,VERIFIED,87,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,2024-25:54
team_match/6253,team_match,2024-25,2444557,,2444557,11,VERIFIED,88,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,2024-25:13
team_match/6254,team_match,2024-25,2444557,,2444557,16,VERIFIED,88,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,2024-25:17
team_match/6255,team_match,2024-25,2444558,,2444558,13,VERIFIED,89,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,2024-25:43
team_match/6256,team_match,2024-25,2444558,,2444558,17,VERIFIED,89,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,2024-25:20
team_match/6257,team_match,2024-25,2444559,,2444559,19,VERIFIED,90,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,2024-25:21
team_match/6258,team_match,2024-25,2444559,,2444559,14,VERIFIED,90,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,2024-25:1
team_match/6259,team_match,2024-25,2444560,,2444560,3,VERIFIED,91,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,2024-25:91
team_match/6260,team_match,2024-25,2444560,,2444560,13,VERIFIED,91,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,2024-25:43
team_match/6261,team_match,2024-25,2444561,,2444561,9,VERIFIED,92,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,2024-25:54
