source_player_id,canonical_player_identity,closure_status,evidence_basis
1212155,david ozoh,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
1214988,callan mckenna,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
1216282,luca koleosho,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
126071,kalidou koulibaly,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
130181,danny ings,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
13060,darren randolph,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
134361,jack stephens,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
135256,christian nørgaard,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
135666,leandro trossard,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
135775,layvin kurzawa,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
136710,mateo kovacic,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
137774,ben mee,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
137786,neeskens kebano,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
138261,ryan fraser,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
