field_name,grain,resource,identity_contract
goalAssistSetplay,team_match,team_match,canonical_team_season_to_source_team
goalFastbreak,team_match,team_match,canonical_team_season_to_source_team
goalKicks,team_match,team_match,canonical_team_season_to_source_team
goalsAgainst,team_match,team_match,canonical_team_season_to_source_team
goalsFor,team_match,team_match,canonical_team_season_to_source_team
goalsOpenplay,team_match,team_match,canonical_team_season_to_source_team
goodHighClaim,team_match,team_match,canonical_team_season_to_source_team
ground,team_match,team_match,canonical_team_season_to_source_team
halfTimeAgainst,team_match,team_match,canonical_team_season_to_source_team
halfTimeFor,team_match,team_match,canonical_team_season_to_source_team
handBall,team_match,team_match,canonical_team_season_to_source_team
headClearance,team_match,team_match,canonical_team_season_to_source_team
hitWoodwork,team_match,team_match,canonical_team_season_to_source_team
interception,team_match,team_match,canonical_team_season_to_source_team
interceptionWon,team_match,team_match,canonical_team_season_to_source_team
interceptionsInBox,team_match,team_match,canonical_team_season_to_source_team
keeperGoals,team_match,team_match,canonical_team_season_to_source_team
keeperThrows,team_match,team_match,canonical_team_season_to_source_team
kickoff,team_match,team_match,canonical_team_season_to_source_team
leftsidePass,team_match,team_match,canonical_team_season_to_source_team
longPassOwnToOpp,team_match,team_match,canonical_team_season_to_source_team
longPassOwnToOppSuccess,team_match,team_match,canonical_team_season_to_source_team
lostCorners,team_match,team_match,canonical_team_season_to_source_team
matchId,team_match,team_match,canonical_team_season_to_source_team
midfielderGoals,team_match,team_match,canonical_team_season_to_source_team
offtargetAttAssist,team_match,team_match,canonical_team_season_to_source_team
ontargetAttAssist,team_match,team_match,canonical_team_season_to_source_team
ontargetScoringAtt,team_match,team_match,canonical_team_season_to_source_team
openPlayPass,team_match,team_match,canonical_team_season_to_source_team
opponent,team_match,team_match,canonical_team_season_to_source_team
opponent_id,team_match,team_match,canonical_team_season_to_source_team
outfielderBlock,team_match,team_match,canonical_team_season_to_source_team
overrun,team_match,team_match,canonical_team_season_to_source_team
ownGoals,team_match,team_match,canonical_team_season_to_source_team
passesLeft,team_match,team_match,canonical_team_season_to_source_team
passesRight,team_match,team_match,canonical_team_season_to_source_team
penAreaEntries,team_match,team_match,canonical_team_season_to_source_team
penGoalsConceded,team_match,team_match,canonical_team_season_to_source_team
penaltyConceded,team_match,team_match,canonical_team_season_to_source_team
penaltyFaced,team_match,team_match,canonical_team_season_to_source_team
penaltySave,team_match,team_match,canonical_team_season_to_source_team
penaltyWon,team_match,team_match,canonical_team_season_to_source_team
possLostAll,team_match,team_match,canonical_team_season_to_source_team
possLostCtrl,team_match,team_match,canonical_team_season_to_source_team
possWonAtt3rd,team_match,team_match,canonical_team_season_to_source_team
possWonDef3rd,team_match,team_match,canonical_team_season_to_source_team
possWonMid3rd,team_match,team_match,canonical_team_season_to_source_team
possessionPercentage,team_match,team_match,canonical_team_season_to_source_team
postScoringAtt,team_match,team_match,canonical_team_season_to_source_team
ptsDroppedWinningPos,team_match,team_match,canonical_team_season_to_source_team
ptsGainedLosingPos,team_match,team_match,canonical_team_season_to_source_team
punches,team_match,team_match,canonical_team_season_to_source_team
putThrough,team_match,team_match,canonical_team_season_to_source_team
redCard,team_match,team_match,canonical_team_season_to_source_team
redCardsAgainst,team_match,team_match,canonical_team_season_to_source_team
redCardsFor,team_match,team_match,canonical_team_season_to_source_team
rescindedRedCard,team_match,team_match,canonical_team_season_to_source_team
result,team_match,team_match,canonical_team_season_to_source_team
rightsidePass,team_match,team_match,canonical_team_season_to_source_team
savedIbox,team_match,team_match,canonical_team_season_to_source_team
savedObox,team_match,team_match,canonical_team_season_to_source_team
saves,team_match,team_match,canonical_team_season_to_source_team
secondYellow,team_match,team_match,canonical_team_season_to_source_team
shieldBallOop,team_match,team_match,canonical_team_season_to_source_team
shotFastbreak,team_match,team_match,canonical_team_season_to_source_team
shotOffTarget,team_match,team_match,canonical_team_season_to_source_team
sixYardBlock,team_match,team_match,canonical_team_season_to_source_team
subsGoals,team_match,team_match,canonical_team_season_to_source_team
subsMade,team_match,team_match,canonical_team_season_to_source_team
successfulFiftyFifty,team_match,team_match,canonical_team_season_to_source_team
successfulFinalThirdPasses,team_match,team_match,canonical_team_season_to_source_team
successfulOpenPlayPass,team_match,team_match,canonical_team_season_to_source_team
successfulPutThrough,team_match,team_match,canonical_team_season_to_source_team
team,team_match,team_match,canonical_team_season_to_source_team
team_id,team_match,team_match,canonical_team_season_to_source_team
