grain,season,fixture_id,source_match_id,venue_role,source_team_id,team_season_id,fixture_attachment_status,team_attachment_status
team_match,2016-17,55,855227,AWAY,17,2016-17:6,VERIFIED_SOURCE_MATCH_ROUTE,VERIFIED
team_match,2016-17,56,855228,HOME,14,2016-17:110,VERIFIED_SOURCE_MATCH_ROUTE,VERIFIED
team_match,2016-17,56,855228,AWAY,19,2016-17:35,VERIFIED_SOURCE_MATCH_ROUTE,VERIFIED
team_match,2016-17,57,855229,HOME,15,2016-17:56,VERIFIED_SOURCE_MATCH_ROUTE,VERIFIED
team_match,2016-17,57,855229,AWAY,5,2016-17:31,VERIFIED_SOURCE_MATCH_ROUTE,VERIFIED
team_match,2016-17,58,855230,HOME,16,2016-17:80,VERIFIED_SOURCE_MATCH_ROUTE,VERIFIED
team_match,2016-17,58,855230,AWAY,10,2016-17:43,VERIFIED_SOURCE_MATCH_ROUTE,VERIFIED
team_match,2016-17,59,855231,HOME,20,2016-17:21,VERIFIED_SOURCE_MATCH_ROUTE,VERIFIED
team_match,2016-17,59,855231,AWAY,13,2016-17:20,VERIFIED_SOURCE_MATCH_ROUTE,VERIFIED
team_match,2016-17,60,855224,HOME,3,2016-17:90,VERIFIED_SOURCE_MATCH_ROUTE,VERIFIED
team_match,2016-17,60,855224,AWAY,18,2016-17:57,VERIFIED_SOURCE_MATCH_ROUTE,VERIFIED
team_match,2016-17,61,855232,HOME,3,2016-17:90,VERIFIED_SOURCE_MATCH_ROUTE,VERIFIED
team_match,2016-17,61,855232,AWAY,1,2016-17:3,VERIFIED_SOURCE_MATCH_ROUTE,VERIFIED
team_match,2016-17,62,855233,HOME,6,2016-17:11,VERIFIED_SOURCE_MATCH_ROUTE,VERIFIED
team_match,2016-17,62,855233,AWAY,5,2016-17:31,VERIFIED_SOURCE_MATCH_ROUTE,VERIFIED
team_match,2016-17,63,855234,HOME,7,2016-17:88,VERIFIED_SOURCE_MATCH_ROUTE,VERIFIED
team_match,2016-17,63,855234,AWAY,4,2016-17:8,VERIFIED_SOURCE_MATCH_ROUTE,VERIFIED
team_match,2016-17,64,855235,HOME,8,2016-17:13,VERIFIED_SOURCE_MATCH_ROUTE,VERIFIED
team_match,2016-17,64,855235,AWAY,13,2016-17:20,VERIFIED_SOURCE_MATCH_ROUTE,VERIFIED
team_match,2016-17,65,855236,HOME,11,2016-17:1,VERIFIED_SOURCE_MATCH_ROUTE,VERIFIED
team_match,2016-17,65,855236,AWAY,14,2016-17:110,VERIFIED_SOURCE_MATCH_ROUTE,VERIFIED
team_match,2016-17,66,855237,HOME,15,2016-17:56,VERIFIED_SOURCE_MATCH_ROUTE,VERIFIED
team_match,2016-17,66,855237,AWAY,19,2016-17:35,VERIFIED_SOURCE_MATCH_ROUTE,VERIFIED
team_match,2016-17,67,855238,HOME,16,2016-17:80,VERIFIED_SOURCE_MATCH_ROUTE,VERIFIED
team_match,2016-17,67,855238,AWAY,9,2016-17:14,VERIFIED_SOURCE_MATCH_ROUTE,VERIFIED
team_match,2016-17,68,855239,HOME,17,2016-17:6,VERIFIED_SOURCE_MATCH_ROUTE,VERIFIED
team_match,2016-17,68,855239,AWAY,10,2016-17:43,VERIFIED_SOURCE_MATCH_ROUTE,VERIFIED
team_match,2016-17,69,855240,HOME,18,2016-17:57,VERIFIED_SOURCE_MATCH_ROUTE,VERIFIED
team_match,2016-17,69,855240,AWAY,2,2016-17:91,VERIFIED_SOURCE_MATCH_ROUTE,VERIFIED
team_match,2016-17,70,855241,HOME,20,2016-17:21,VERIFIED_SOURCE_MATCH_ROUTE,VERIFIED
team_match,2016-17,70,855241,AWAY,12,2016-17:25,VERIFIED_SOURCE_MATCH_ROUTE,VERIFIED
team_match,2016-17,71,855243,HOME,1,2016-17:3,VERIFIED_SOURCE_MATCH_ROUTE,VERIFIED
team_match,2016-17,71,855243,AWAY,16,2016-17:80,VERIFIED_SOURCE_MATCH_ROUTE,VERIFIED
team_match,2016-17,72,855242,HOME,2,2016-17:91,VERIFIED_SOURCE_MATCH_ROUTE,VERIFIED
team_match,2016-17,72,855242,AWAY,7,2016-17:88,VERIFIED_SOURCE_MATCH_ROUTE,VERIFIED
team_match,2016-17,73,855244,HOME,4,2016-17:8,VERIFIED_SOURCE_MATCH_ROUTE,VERIFIED
team_match,2016-17,73,855244,AWAY,8,2016-17:13,VERIFIED_SOURCE_MATCH_ROUTE,VERIFIED
team_match,2016-17,74,855245,HOME,5,2016-17:31,VERIFIED_SOURCE_MATCH_ROUTE,VERIFIED
team_match,2016-17,74,855245,AWAY,20,2016-17:21,VERIFIED_SOURCE_MATCH_ROUTE,VERIFIED
team_match,2016-17,75,855246,HOME,9,2016-17:14,VERIFIED_SOURCE_MATCH_ROUTE,VERIFIED
team_match,2016-17,75,855246,AWAY,11,2016-17:1,VERIFIED_SOURCE_MATCH_ROUTE,VERIFIED
team_match,2016-17,76,855247,HOME,10,2016-17:43,VERIFIED_SOURCE_MATCH_ROUTE,VERIFIED
team_match,2016-17,76,855247,AWAY,6,2016-17:11,VERIFIED_SOURCE_MATCH_ROUTE,VERIFIED
team_match,2016-17,77,855248,HOME,12,2016-17:25,VERIFIED_SOURCE_MATCH_ROUTE,VERIFIED
team_match,2016-17,77,855248,AWAY,18,2016-17:57,VERIFIED_SOURCE_MATCH_ROUTE,VERIFIED
team_match,2016-17,78,855249,HOME,13,2016-17:20,VERIFIED_SOURCE_MATCH_ROUTE,VERIFIED
team_match,2016-17,78,855249,AWAY,3,2016-17:90,VERIFIED_SOURCE_MATCH_ROUTE,VERIFIED
team_match,2016-17,79,855250,HOME,14,2016-17:110,VERIFIED_SOURCE_MATCH_ROUTE,VERIFIED
team_match,2016-17,79,855250,AWAY,15,2016-17:56,VERIFIED_SOURCE_MATCH_ROUTE,VERIFIED
team_match,2016-17,80,855251,HOME,19,2016-17:35,VERIFIED_SOURCE_MATCH_ROUTE,VERIFIED
team_match,2016-17,80,855251,AWAY,17,2016-17:6,VERIFIED_SOURCE_MATCH_ROUTE,VERIFIED
team_match,2016-17,81,855253,HOME,1,2016-17:3,VERIFIED_SOURCE_MATCH_ROUTE,VERIFIED
team_match,2016-17,81,855253,AWAY,12,2016-17:25,VERIFIED_SOURCE_MATCH_ROUTE,VERIFIED
team_match,2016-17,82,855252,HOME,2,2016-17:91,VERIFIED_SOURCE_MATCH_ROUTE,VERIFIED
team_match,2016-17,82,855252,AWAY,17,2016-17:6,VERIFIED_SOURCE_MATCH_ROUTE,VERIFIED
team_match,2016-17,83,855254,HOME,3,2016-17:90,VERIFIED_SOURCE_MATCH_ROUTE,VERIFIED
team_match,2016-17,83,855254,AWAY,6,2016-17:11,VERIFIED_SOURCE_MATCH_ROUTE,VERIFIED
team_match,2016-17,84,855255,HOME,4,2016-17:8,VERIFIED_SOURCE_MATCH_ROUTE,VERIFIED
team_match,2016-17,84,855255,AWAY,11,2016-17:1,VERIFIED_SOURCE_MATCH_ROUTE,VERIFIED
team_match,2016-17,85,855256,HOME,7,2016-17:88,VERIFIED_SOURCE_MATCH_ROUTE,VERIFIED
team_match,2016-17,85,855256,AWAY,14,2016-17:110,VERIFIED_SOURCE_MATCH_ROUTE,VERIFIED
team_match,2016-17,86,855257,HOME,8,2016-17:13,VERIFIED_SOURCE_MATCH_ROUTE,VERIFIED
team_match,2016-17,86,855257,AWAY,5,2016-17:31,VERIFIED_SOURCE_MATCH_ROUTE,VERIFIED
team_match,2016-17,87,855258,HOME,9,2016-17:14,VERIFIED_SOURCE_MATCH_ROUTE,VERIFIED
team_match,2016-17,87,855258,AWAY,19,2016-17:35,VERIFIED_SOURCE_MATCH_ROUTE,VERIFIED
team_match,2016-17,88,855259,HOME,10,2016-17:43,VERIFIED_SOURCE_MATCH_ROUTE,VERIFIED
team_match,2016-17,88,855259,AWAY,13,2016-17:20,VERIFIED_SOURCE_MATCH_ROUTE,VERIFIED
team_match,2016-17,89,855260,HOME,16,2016-17:80,VERIFIED_SOURCE_MATCH_ROUTE,VERIFIED
team_match,2016-17,89,855260,AWAY,18,2016-17:57,VERIFIED_SOURCE_MATCH_ROUTE,VERIFIED
team_match,2016-17,90,855261,HOME,20,2016-17:21,VERIFIED_SOURCE_MATCH_ROUTE,VERIFIED
team_match,2016-17,90,855261,AWAY,15,2016-17:56,VERIFIED_SOURCE_MATCH_ROUTE,VERIFIED
team_match,2016-17,91,855262,HOME,5,2016-17:31,VERIFIED_SOURCE_MATCH_ROUTE,VERIFIED
team_match,2016-17,91,855262,AWAY,9,2016-17:14,VERIFIED_SOURCE_MATCH_ROUTE,VERIFIED
team_match,2016-17,92,855263,HOME,6,2016-17:11,VERIFIED_SOURCE_MATCH_ROUTE,VERIFIED
team_match,2016-17,92,855263,AWAY,20,2016-17:21,VERIFIED_SOURCE_MATCH_ROUTE,VERIFIED
team_match,2016-17,93,855264,HOME,11,2016-17:1,VERIFIED_SOURCE_MATCH_ROUTE,VERIFIED
team_match,2016-17,93,855264,AWAY,3,2016-17:90,VERIFIED_SOURCE_MATCH_ROUTE,VERIFIED
team_match,2016-17,94,855265,HOME,12,2016-17:25,VERIFIED_SOURCE_MATCH_ROUTE,VERIFIED
team_match,2016-17,94,855265,AWAY,2,2016-17:91,VERIFIED_SOURCE_MATCH_ROUTE,VERIFIED
team_match,2016-17,95,855266,HOME,13,2016-17:20,VERIFIED_SOURCE_MATCH_ROUTE,VERIFIED
team_match,2016-17,95,855266,AWAY,4,2016-17:8,VERIFIED_SOURCE_MATCH_ROUTE,VERIFIED
team_match,2016-17,96,855267,HOME,14,2016-17:110,VERIFIED_SOURCE_MATCH_ROUTE,VERIFIED
team_match,2016-17,96,855267,AWAY,16,2016-17:80,VERIFIED_SOURCE_MATCH_ROUTE,VERIFIED
