grain,season,source_player_id,player_attachment_status,frl_player_identity_status,player_season_source_name
player_season,2020-21,219961,UNRESOLVED,,Raphinha
player_season,2020-21,80954,UNRESOLVED,,Rodrigo
player_season,2020-21,462635,UNRESOLVED,,Joe Gelhardt
player_season,2020-21,248937,UNRESOLVED,,Sam Greenwood
player_season,2020-21,492066,UNRESOLVED,,Niall Huggins
player_season,2020-21,17745,UNRESOLVED,,Kasper Schmeichel
player_season,2020-21,95463,UNRESOLVED,,Danny Ward
player_season,2020-21,220627,UNRESOLVED,,James Justin
player_season,2020-21,444463,UNRESOLVED,,Wesley Fofana
player_season,2020-21,218031,UNRESOLVED,,Çaglar Söyüncü
player_season,2020-21,15033,UNRESOLVED,,Wes Morgan
player_season,2020-21,37642,UNRESOLVED,,Jonny Evans
player_season,2020-21,155569,UNRESOLVED,,Daniel Amartey
player_season,2020-21,111931,UNRESOLVED,,Ricardo Pereira
player_season,2020-21,166477,UNRESOLVED,,Timothy Castagne
player_season,2020-21,37402,UNRESOLVED,,Christian Fuchs
player_season,2020-21,244619,UNRESOLVED,,Luke Thomas
player_season,2020-21,232229,UNRESOLVED,,Vontae Daley-Campbell
player_season,2020-21,166989,UNRESOLVED,,Youri Tielemans
player_season,2020-21,172780,UNRESOLVED,,James Maddison
player_season,2020-21,51938,UNRESOLVED,,Marc Albrighton
player_season,2020-21,201666,UNRESOLVED,,Harvey Barnes
player_season,2020-21,228798,UNRESOLVED,,Cengiz Ünder
player_season,2020-21,197469,UNRESOLVED,,Hamza Choudhury
player_season,2020-21,86881,UNRESOLVED,,Nampalys Mendy
player_season,2020-21,203341,UNRESOLVED,,Wilfred Ndidi
player_season,2020-21,106837,UNRESOLVED,,Dennis Praet
player_season,2020-21,232881,UNRESOLVED,,Thakgalo Leshabela
player_season,2020-21,421796,UNRESOLVED,,Sidnei Tavares
player_season,2020-21,447373,UNRESOLVED,,Shane Flynn
player_season,2020-21,513789,UNRESOLVED,,Thanawat Suengchitthawon
player_season,2020-21,461585,UNRESOLVED,,Tawanda Maswanhise
player_season,2020-21,101668,UNRESOLVED,,Jamie Vardy
player_season,2020-21,173515,UNRESOLVED,,Kelechi Iheanacho
player_season,2020-21,168580,UNRESOLVED,,Ayoze Pérez
player_season,2020-21,116535,UNRESOLVED,,Alisson Becker
player_season,2020-21,60706,UNRESOLVED,,Adrián
player_season,2020-21,200720,UNRESOLVED,,Caoimhín Kelleher
player_season,2020-21,490138,UNRESOLVED,,Jakub Ojrzynski
player_season,2020-21,433019,UNRESOLVED,,Liam Hughes
player_season,2020-21,97032,UNRESOLVED,,Virgil van Dijk
player_season,2020-21,171287,UNRESOLVED,,Joe Gomez
player_season,2020-21,438277,UNRESOLVED,,Ozan Kabak
player_season,2020-21,214285,UNRESOLVED,,Kostas Tsimikas
player_season,2020-21,122798,UNRESOLVED,,Andy Robertson
player_season,2020-21,152898,UNRESOLVED,,Ben Davies
player_season,2020-21,60914,UNRESOLVED,,Joël Matip
player_season,2020-21,219937,UNRESOLVED,,Rhys Williams
player_season,2020-21,197464,UNRESOLVED,,Nathaniel Phillips
player_season,2020-21,169187,UNRESOLVED,,Trent Alexander-Arnold
player_season,2020-21,215136,UNRESOLVED,,Neco Williams
player_season,2020-21,480818,UNRESOLVED,,Billy Koumetio
player_season,2020-21,116643,UNRESOLVED,,Fabinho
player_season,2020-21,41733,UNRESOLVED,,Georginio Wijnaldum
player_season,2020-21,61558,UNRESOLVED,,Thiago Alcântara
player_season,2020-21,15157,UNRESOLVED,,James Milner
player_season,2020-21,175592,UNRESOLVED,,Naby Keïta
player_season,2020-21,56979,UNRESOLVED,,Jordan Henderson
player_season,2020-21,81880,UNRESOLVED,,Alex Oxlade-Chamberlain
player_season,2020-21,206915,UNRESOLVED,,Curtis Jones
player_season,2020-21,68312,UNRESOLVED,,Xherdan Shaqiri
player_season,2020-21,182436,UNRESOLVED,,Ben Woodburn
player_season,2020-21,243343,UNRESOLVED,,Jake Cain
player_season,2020-21,233489,UNRESOLVED,,Leighton Clarkson
player_season,2020-21,92217,UNRESOLVED,,Roberto Firmino
player_season,2020-21,110979,UNRESOLVED,,Sadio Mané
player_season,2020-21,118748,UNRESOLVED,,Mohamed Salah
player_season,2020-21,194634,UNRESOLVED,,Diogo Jota
player_season,2020-21,152760,UNRESOLVED,,Divock Origi
player_season,2020-21,164484,UNRESOLVED,,Zack Steffen
player_season,2020-21,121160,UNRESOLVED,,Ederson
player_season,2020-21,17601,UNRESOLVED,,Scott Carson
player_season,2020-21,432720,UNRESOLVED,,James Trafford
player_season,2020-21,58621,UNRESOLVED,,Kyle Walker
player_season,2020-21,171314,UNRESOLVED,,Rúben Dias
player_season,2020-21,97299,UNRESOLVED,,John Stones
player_season,2020-21,126184,UNRESOLVED,,Nathan Aké
player_season,2020-21,206325,UNRESOLVED,,Oleksandr Zinchenko
player_season,2020-21,146941,UNRESOLVED,,Aymeric Laporte
player_season,2020-21,102826,UNRESOLVED,,Benjamin Mendy
player_season,2020-21,121145,UNRESOLVED,,João Cancelo
player_season,2020-21,432656,UNRESOLVED,,Eric García
player_season,2020-21,439510,UNRESOLVED,,Luke Mbete
