season,canonical_fixture_id,source_match_id,source_pulse_fixture_id,expected_goal_count,observed_goal_count,goal_count_match,source_event_id,source_event_type,source_event_seconds,source_event_time_label,source_event_text,source_scorer_name,source_scorer_team,source_scorer_id,source_assist_ids,source_fixture_home,source_fixture_away,source_fixture_home_score,source_fixture_away_score,source_url,retrieved_at_utc
2016-17,17,855189,14057,3,3,true,105899,goal,5200,87,"Goal!  Watford 1, Chelsea 2. Diego Costa (Chelsea) right footed shot from the left side of the box to the centre of the goal. Assisted by Cesc Fàbregas with a through ball   following a fast break.",Diego Costa,Chelsea,4941,2417,,,1,2,https://footballapi.pulselive.com/football/fixtures/14057/textstream/EN?pageSize=1000&sort=desc,2026-08-19T17:08:48.597578Z
2016-17,17,855189,14057,3,3,true,105854,goal,4782,80,"Goal!  Watford 1, Chelsea 1. Michy Batshuayi (Chelsea) right footed shot from the centre of the box to the bottom right corner.",Michy Batshuayi,Chelsea,7450,,,,1,2,https://footballapi.pulselive.com/football/fixtures/14057/textstream/EN?pageSize=1000&sort=desc,2026-08-19T17:08:48.597578Z
2016-17,17,855189,14057,3,3,true,105712,goal,3285,55,"Goal!  Watford 1, Chelsea 0. Etienne Capoue (Watford) left footed shot from the left side of the box to the top left corner. Assisted by Adlène Guédioura with a cross.",Etienne Capoue,Watford,4843,4004,,,1,2,https://footballapi.pulselive.com/football/fixtures/14057/textstream/EN?pageSize=1000&sort=desc,2026-08-19T17:08:48.597578Z
2016-17,18,855190,14058,3,3,true,105742,goal,3579,60,"Goal!  West Bromwich Albion 1, Everton 2. Gareth Barry (Everton) header from the right side of the six yard box to the top right corner. Assisted by Mason Holgate   following a corner.",Gareth Barry,Everton,1308,10564,,,1,2,https://footballapi.pulselive.com/football/fixtures/14058/textstream/EN?pageSize=1000&sort=desc,2026-08-19T17:08:49.382554Z
2016-17,18,855190,14058,3,3,true,105653,goal,2767,45+2,"Goal!  West Bromwich Albion 1, Everton 1. Kevin Mirallas (Everton) left footed shot from the centre of the box to the bottom right corner. Assisted by Ross Barkley.",Kevin Mirallas,Everton,4507,4115,,,1,2,https://footballapi.pulselive.com/football/fixtures/14058/textstream/EN?pageSize=1000&sort=desc,2026-08-19T17:08:49.382554Z
2016-17,18,855190,14058,3,3,true,105464,goal,497,09,"Goal!  West Bromwich Albion 1, Everton 0. Gareth McAuley (West Bromwich Albion) header from very close range to the bottom right corner. Assisted by Craig Gardner with a cross   following a corner.",Gareth McAuley,West Bromwich Albion,4437,2847,,,1,2,https://footballapi.pulselive.com/football/fixtures/14058/textstream/EN?pageSize=1000&sort=desc,2026-08-19T17:08:49.382554Z
2016-17,19,855186,14054,3,3,true,106144,goal,4217,71,"Goal!  Sunderland 1, Middlesbrough 2. Patrick van Aanholt (Sunderland) left footed shot from the centre of the box to the bottom right corner.",Patrick van Aanholt,Sunderland,3362,,,,1,2,https://footballapi.pulselive.com/football/fixtures/14054/textstream/EN?pageSize=1000&sort=desc,2026-08-19T17:08:50.172419Z
2016-17,19,855186,14054,3,3,true,106103,goal,2676,45,"Goal!  Sunderland 0, Middlesbrough 2. Cristhian Stuani (Middlesbrough) left footed shot from the centre of the box to the high centre of the goal. Assisted by Álvaro Negredo.",Cristhian Stuani,Middlesbrough,13573,4805,,,1,2,https://footballapi.pulselive.com/football/fixtures/14054/textstream/EN?pageSize=1000&sort=desc,2026-08-19T17:08:50.172419Z
2016-17,19,855186,14054,3,3,true,106076,goal,761,13,"Goal!  Sunderland 0, Middlesbrough 1. Cristhian Stuani (Middlesbrough) right footed shot from outside the box to the top left corner. Assisted by Álvaro Negredo.",Cristhian Stuani,Middlesbrough,13573,4805,,,1,2,https://footballapi.pulselive.com/football/fixtures/14054/textstream/EN?pageSize=1000&sort=desc,2026-08-19T17:08:50.172419Z
2016-17,20,855191,14059,1,1,true,106270,goal,5054,85,"Goal!  West Ham United 1, Bournemouth 0. Michail Antonio (West Ham United) header from very close range to the centre of the goal. Assisted by Gökhan Töre with a cross.",Michail Antonio,West Ham United,9595,3597,,,1,0,https://footballapi.pulselive.com/football/fixtures/14059/textstream/EN?pageSize=1000&sort=desc,2026-08-19T17:08:51.019433Z
2016-17,21,855192,14060,3,3,true,109865,goal,5318,89,"Goal!  Chelsea 3, Burnley 0. Victor Moses (Chelsea) right footed shot from the centre of the box to the centre of the goal. Assisted by Pedro with a cross.",Victor Moses,Chelsea,3983,4972,,,3,0,https://footballapi.pulselive.com/football/fixtures/14060/textstream/EN?pageSize=1000&sort=desc,2026-08-19T17:08:51.842147Z
2016-17,21,855192,14060,3,3,true,109507,goal,2443,41,"Goal!  Chelsea 2, Burnley 0. Willian (Chelsea) right footed shot from the right side of the box to the bottom left corner. Assisted by Diego Costa.",Willian,Chelsea,4748,4941,,,3,0,https://footballapi.pulselive.com/football/fixtures/14060/textstream/EN?pageSize=1000&sort=desc,2026-08-19T17:08:51.842147Z
2016-17,21,855192,14060,3,3,true,109316,goal,517,09,"Goal!  Chelsea 1, Burnley 0. Eden Hazard (Chelsea) right footed shot from outside the box to the bottom right corner. Assisted by Nemanja Matic.",Eden Hazard,Chelsea,4503,3861,,,3,0,https://footballapi.pulselive.com/football/fixtures/14060/textstream/EN?pageSize=1000&sort=desc,2026-08-19T17:08:51.842147Z
2016-17,22,855193,14061,2,2,true,109900,goal,5556,90+3,"Goal!  Crystal Palace 1, Bournemouth 1. Scott Dann (Crystal Palace) header from the centre of the box to the bottom left corner. Assisted by Jason Puncheon.",Scott Dann,Crystal Palace,3807,4084,,,1,1,https://footballapi.pulselive.com/football/fixtures/14061/textstream/EN?pageSize=1000&sort=desc,2026-08-19T17:08:52.696762Z
2016-17,22,855193,14061,2,2,true,109334,goal,614,11,"Goal!  Crystal Palace 0, Bournemouth 1. Joshua King (Bournemouth) right footed shot from the right side of the box to the bottom left corner. Assisted by Harry Arter   following a set piece situation.",Joshua King,Bournemouth,3926,8050,,,1,1,https://footballapi.pulselive.com/football/fixtures/14061/textstream/EN?pageSize=1000&sort=desc,2026-08-19T17:08:52.696762Z
