grain,season,fixture_id,source_player_id,team_season_id,persistent_team_code,original_status,crossseason_fpl_candidates,crossseason_status
player_match,2016-17,6,22481,,,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,6,25929,,,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,6,27314,,,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,6,48988,,,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,6,54311,,,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,6,65953,,,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,6,94329,,,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,6,96702,,,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,6,150201,,,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,7,559,2016-17:21,21,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,7,10486,2016-17:21,21,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,7,19314,2016-17:21,21,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,7,24248,2016-17:21,21,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,7,26989,2016-17:21,21,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,7,27622,2016-17:21,21,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,7,37761,2016-17:21,21,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,7,38560,2016-17:21,21,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,7,44760,2016-17:21,21,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,7,45502,2016-17:21,21,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,7,69416,2016-17:21,21,UNRESOLVED,,NO_UNIQUE_ANCHOR
player_match,2016-17,7,97905,2016-17:21,21,UNRESOLVED,,NO_UNIQUE_ANCHOR
