source_surface,resource,grain,field_name,sampled_seasons,sampled_paths,semantic_status
PL_PULSELIVE_HISTORICAL,player_season,player_season,straightRedCards,2009-10;2017-18;2025-26,pl_stats/A_Villa_7/players_stats/2009-10_players_stats.csv | pl_stats/A_Villa_7/players_stats/2025-26_players_stats.csv | pl_stats/Arsenal_3/players_stats/2017-18_players_stats.csv,UNCATALOGUED
PL_PULSELIVE_HISTORICAL,player_season,player_season,substituteOff,2009-10;2017-18;2025-26,pl_stats/A_Villa_7/players_stats/2009-10_players_stats.csv | pl_stats/A_Villa_7/players_stats/2025-26_players_stats.csv | pl_stats/Arsenal_3/players_stats/2017-18_players_stats.csv,UNCATALOGUED
PL_PULSELIVE_HISTORICAL,player_season,player_season,substituteOn,2009-10;2017-18;2025-26,pl_stats/A_Villa_7/players_stats/2009-10_players_stats.csv | pl_stats/A_Villa_7/players_stats/2025-26_players_stats.csv | pl_stats/Arsenal_3/players_stats/2017-18_players_stats.csv,UNCATALOGUED
PL_PULSELIVE_HISTORICAL,player_season,player_season,successfulCornersIntoBox,2009-10;2017-18;2025-26,pl_stats/A_Villa_7/players_stats/2009-10_players_stats.csv | pl_stats/A_Villa_7/players_stats/2025-26_players_stats.csv | pl_stats/Arsenal_3/players_stats/2017-18_players_stats.csv,UNCATALOGUED
PL_PULSELIVE_HISTORICAL,player_season,player_season,successfulCrossesAndCorners,2009-10;2017-18;2025-26,pl_stats/A_Villa_7/players_stats/2009-10_players_stats.csv | pl_stats/A_Villa_7/players_stats/2025-26_players_stats.csv | pl_stats/Arsenal_3/players_stats/2017-18_players_stats.csv,UNCATALOGUED
PL_PULSELIVE_HISTORICAL,player_season,player_season,successfulCrossesOpenPlay,2009-10;2017-18;2025-26,pl_stats/A_Villa_7/players_stats/2009-10_players_stats.csv | pl_stats/A_Villa_7/players_stats/2025-26_players_stats.csv | pl_stats/Arsenal_3/players_stats/2017-18_players_stats.csv,UNCATALOGUED
PL_PULSELIVE_HISTORICAL,player_season,player_season,successfulDribbles,2009-10;2017-18;2025-26,pl_stats/A_Villa_7/players_stats/2009-10_players_stats.csv | pl_stats/A_Villa_7/players_stats/2025-26_players_stats.csv | pl_stats/Arsenal_3/players_stats/2017-18_players_stats.csv,UNCATALOGUED
PL_PULSELIVE_HISTORICAL,player_season,player_season,successfulLaunches,2009-10;2017-18;2025-26,pl_stats/A_Villa_7/players_stats/2009-10_players_stats.csv | pl_stats/A_Villa_7/players_stats/2025-26_players_stats.csv | pl_stats/Arsenal_3/players_stats/2017-18_players_stats.csv,UNCATALOGUED
PL_PULSELIVE_HISTORICAL,player_season,player_season,successfulLayoffs,2009-10;2017-18;2025-26,pl_stats/A_Villa_7/players_stats/2009-10_players_stats.csv | pl_stats/A_Villa_7/players_stats/2025-26_players_stats.csv | pl_stats/Arsenal_3/players_stats/2017-18_players_stats.csv,UNCATALOGUED
PL_PULSELIVE_HISTORICAL,player_season,player_season,successfulLongPasses,2009-10;2017-18;2025-26,pl_stats/A_Villa_7/players_stats/2009-10_players_stats.csv | pl_stats/A_Villa_7/players_stats/2025-26_players_stats.csv | pl_stats/Arsenal_3/players_stats/2017-18_players_stats.csv,UNCATALOGUED
