season,source_player_id,forward_passes
2017-18,40833,43.0
2017-18,40845,579.0
2017-18,40868,514.0
2017-18,41184,106.0
2017-18,41251,
2017-18,41270,157.0
2017-18,41320,647.0
2017-18,41321,12.0
2017-18,41328,1037.0
2017-18,41338,81.0
2017-18,41464,143.0
2017-18,41674,247.0
2017-18,41725,225.0
2017-18,41733,257.0
2017-18,41792,320.0
2017-18,41823,392.0
2017-18,41945,255.0
2017-18,42427,461.0
2017-18,42564,195.0
2017-18,42748,427.0
2017-18,42774,383.0
2017-18,42786,361.0
2017-18,42899,15.0
2017-18,42996,32.0
2017-18,43020,66.0
2017-18,43250,377.0
2017-18,43670,243.0
2017-18,43808,233.0
2017-18,44343,38.0
2017-18,44346,74.0
2017-18,44683,212.0
2017-18,44699,165.0
2017-18,45124,129.0
2017-18,45268,218.0
2017-18,46483,139.0
2017-18,47431,214.0
2017-18,48332,341.0
2017-18,48615,170.0
2017-18,48717,209.0
2017-18,48760,751.0
2017-18,48844,80.0
2017-18,48860,
2017-18,49013,253.0
2017-18,49277,170.0
2017-18,49413,372.0
2017-18,49440,56.0
2017-18,49539,798.0
2017-18,49579,145.0
2017-18,49944,383.0
2017-18,50089,224.0
2017-18,50175,68.0
2017-18,50229,169.0
2017-18,50232,601.0
2017-18,50471,349.0
2017-18,50472,36.0
2017-18,51344,167.0
2017-18,51507,671.0
2017-18,51917,
2017-18,51927,507.0
2017-18,51938,416.0
2017-18,51940,759.0
2017-18,52153,168.0
2017-18,52940,343.0
2017-18,54102,200.0
2017-18,54284,303.0
2017-18,54316,41.0
2017-18,54469,317.0
2017-18,54484,252.0
2017-18,54513,262.0
2017-18,54694,54.0
2017-18,54756,190.0
2017-18,54861,206.0
2017-18,54908,20.0
2017-18,55037,338.0
2017-18,55422,266.0
2017-18,55452,66.0
2017-18,55459,625.0
2017-18,55494,372.0
2017-18,55605,352.0
2017-18,55829,118.0
2017-18,55909,306.0
2017-18,56192,325.0
2017-18,56872,161.0
2017-18,56917,590.0
2017-18,56979,617.0
2017-18,56983,366.0
2017-18,57001,60.0
2017-18,57112,140.0
2017-18,57134,230.0
2017-18,57145,550.0
2017-18,57249,256.0
2017-18,57328,30.0
2017-18,57410,916.0
2017-18,57513,1027.0
2017-18,57531,110.0
2017-18,57586,33.0
2017-18,58376,365.0
2017-18,58621,648.0
2017-18,58786,166.0
2017-18,58822,524.0
2017-18,58845,348.0
2017-18,58877,89.0
2017-18,58893,155.0
2017-18,59735,257.0
2017-18,59779,248.0
2017-18,59846,304.0
2017-18,59859,331.0
2017-18,59940,50.0
2017-18,59949,171.0
2017-18,59966,154.0
2017-18,60232,480.0
2017-18,60252,288.0
2017-18,60307,389.0
2017-18,60551,199.0
2017-18,60586,259.0
2017-18,60598,129.0
2017-18,60689,124.0
2017-18,60706,472.0
2017-18,60772,585.0
2017-18,60914,579.0
2017-18,61316,168.0
2017-18,61366,750.0
2017-18,61548,33.0
2017-18,61566,172.0
2017-18,61603,89.0
2017-18,61604,145.0
2017-18,61760,
2017-18,61858,227.0
2017-18,61933,519.0
2017-18,62398,745.0
2017-18,62399,357.0
2017-18,62974,80.0
2017-18,63370,94.0
2017-18,66242,517.0
2017-18,66247,208.0
2017-18,66749,166.0
2017-18,66797,323.0
2017-18,66838,53.0
2017-18,66975,591.0
2017-18,67089,245.0
2017-18,67527,298.0
2017-18,68312,297.0
2017-18,68983,394.0
