source_surface,grain,season,field_name,representative_path,fetch_error
PL_PULSELIVE_HISTORICAL,team_match,2020-21,crosses18yardplus,pl_stats/A_Villa_7/events_stats/2020-21_events_stats.csv,
PL_PULSELIVE_HISTORICAL,team_match,2020-21,defenderGoals,pl_stats/A_Villa_7/events_stats/2020-21_events_stats.csv,
PL_PULSELIVE_HISTORICAL,team_match,2020-21,dispossessed,pl_stats/A_Villa_7/events_stats/2020-21_events_stats.csv,
PL_PULSELIVE_HISTORICAL,team_match,2020-21,divingSave,pl_stats/A_Villa_7/events_stats/2020-21_events_stats.csv,
PL_PULSELIVE_HISTORICAL,team_match,2020-21,duelLost,pl_stats/A_Villa_7/events_stats/2020-21_events_stats.csv,
PL_PULSELIVE_HISTORICAL,team_match,2020-21,duelWon,pl_stats/A_Villa_7/events_stats/2020-21_events_stats.csv,
PL_PULSELIVE_HISTORICAL,team_match,2020-21,effectiveBlockedCross,pl_stats/A_Villa_7/events_stats/2020-21_events_stats.csv,
PL_PULSELIVE_HISTORICAL,team_match,2020-21,effectiveClearance,pl_stats/A_Villa_7/events_stats/2020-21_events_stats.csv,
PL_PULSELIVE_HISTORICAL,team_match,2020-21,effectiveHeadClearance,pl_stats/A_Villa_7/events_stats/2020-21_events_stats.csv,
PL_PULSELIVE_HISTORICAL,team_match,2020-21,errorLeadToGoal,pl_stats/A_Villa_7/events_stats/2020-21_events_stats.csv,
PL_PULSELIVE_HISTORICAL,team_match,2020-21,errorLeadToShot,pl_stats/A_Villa_7/events_stats/2020-21_events_stats.csv,
PL_PULSELIVE_HISTORICAL,team_match,2020-21,expectedAssists,pl_stats/A_Villa_7/events_stats/2020-21_events_stats.csv,
PL_PULSELIVE_HISTORICAL,team_match,2020-21,expectedGoals,pl_stats/A_Villa_7/events_stats/2020-21_events_stats.csv,
PL_PULSELIVE_HISTORICAL,team_match,2020-21,expectedGoalsOnTarget,pl_stats/A_Villa_7/events_stats/2020-21_events_stats.csv,
PL_PULSELIVE_HISTORICAL,team_match,2020-21,expectedGoalsOnTargetConceded,pl_stats/A_Villa_7/events_stats/2020-21_events_stats.csv,
PL_PULSELIVE_HISTORICAL,team_match,2020-21,fiftyFifty,pl_stats/A_Villa_7/events_stats/2020-21_events_stats.csv,
PL_PULSELIVE_HISTORICAL,team_match,2020-21,finalThirdEntries,pl_stats/A_Villa_7/events_stats/2020-21_events_stats.csv,
PL_PULSELIVE_HISTORICAL,team_match,2020-21,fkFoulLost,pl_stats/A_Villa_7/events_stats/2020-21_events_stats.csv,
PL_PULSELIVE_HISTORICAL,team_match,2020-21,fkFoulWon,pl_stats/A_Villa_7/events_stats/2020-21_events_stats.csv,
PL_PULSELIVE_HISTORICAL,team_match,2020-21,forwardGoals,pl_stats/A_Villa_7/events_stats/2020-21_events_stats.csv,
PL_PULSELIVE_HISTORICAL,team_match,2020-21,foulThrowIn,pl_stats/A_Villa_7/events_stats/2020-21_events_stats.csv,
PL_PULSELIVE_HISTORICAL,team_match,2020-21,fouledFinalThird,pl_stats/A_Villa_7/events_stats/2020-21_events_stats.csv,
PL_PULSELIVE_HISTORICAL,team_match,2020-21,freekickCross,pl_stats/A_Villa_7/events_stats/2020-21_events_stats.csv,
PL_PULSELIVE_HISTORICAL,team_match,2020-21,freekickTotal,pl_stats/A_Villa_7/events_stats/2020-21_events_stats.csv,
PL_PULSELIVE_HISTORICAL,team_match,2020-21,fwdPass,pl_stats/A_Villa_7/events_stats/2020-21_events_stats.csv,
PL_PULSELIVE_HISTORICAL,team_match,2020-21,gameweek,pl_stats/A_Villa_7/events_stats/2020-21_events_stats.csv,
PL_PULSELIVE_HISTORICAL,team_match,2020-21,goalAssist,pl_stats/A_Villa_7/events_stats/2020-21_events_stats.csv,
PL_PULSELIVE_HISTORICAL,team_match,2020-21,goalAssistDeadball,pl_stats/A_Villa_7/events_stats/2020-21_events_stats.csv,
PL_PULSELIVE_HISTORICAL,team_match,2020-21,goalAssistIntentional,pl_stats/A_Villa_7/events_stats/2020-21_events_stats.csv,
PL_PULSELIVE_HISTORICAL,team_match,2020-21,goalAssistOpenplay,pl_stats/A_Villa_7/events_stats/2020-21_events_stats.csv,
PL_PULSELIVE_HISTORICAL,team_match,2020-21,goalAssistSetplay,pl_stats/A_Villa_7/events_stats/2020-21_events_stats.csv,
PL_PULSELIVE_HISTORICAL,team_match,2020-21,goalFastbreak,pl_stats/A_Villa_7/events_stats/2020-21_events_stats.csv,
PL_PULSELIVE_HISTORICAL,team_match,2020-21,goalKicks,pl_stats/A_Villa_7/events_stats/2020-21_events_stats.csv,
PL_PULSELIVE_HISTORICAL,team_match,2020-21,goalsAgainst,pl_stats/A_Villa_7/events_stats/2020-21_events_stats.csv,
PL_PULSELIVE_HISTORICAL,team_match,2020-21,goalsFor,pl_stats/A_Villa_7/events_stats/2020-21_events_stats.csv,
PL_PULSELIVE_HISTORICAL,team_match,2020-21,goalsOpenplay,pl_stats/A_Villa_7/events_stats/2020-21_events_stats.csv,
PL_PULSELIVE_HISTORICAL,team_match,2020-21,goodHighClaim,pl_stats/A_Villa_7/events_stats/2020-21_events_stats.csv,
PL_PULSELIVE_HISTORICAL,team_match,2020-21,ground,pl_stats/A_Villa_7/events_stats/2020-21_events_stats.csv,
PL_PULSELIVE_HISTORICAL,team_match,2020-21,halfTimeAgainst,pl_stats/A_Villa_7/events_stats/2020-21_events_stats.csv,
PL_PULSELIVE_HISTORICAL,team_match,2020-21,halfTimeFor,pl_stats/A_Villa_7/events_stats/2020-21_events_stats.csv,
PL_PULSELIVE_HISTORICAL,team_match,2020-21,handBall,pl_stats/A_Villa_7/events_stats/2020-21_events_stats.csv,
PL_PULSELIVE_HISTORICAL,team_match,2020-21,headClearance,pl_stats/A_Villa_7/events_stats/2020-21_events_stats.csv,
PL_PULSELIVE_HISTORICAL,team_match,2020-21,hitWoodwork,pl_stats/A_Villa_7/events_stats/2020-21_events_stats.csv,
PL_PULSELIVE_HISTORICAL,team_match,2020-21,interception,pl_stats/A_Villa_7/events_stats/2020-21_events_stats.csv,
PL_PULSELIVE_HISTORICAL,team_match,2020-21,interceptionWon,pl_stats/A_Villa_7/events_stats/2020-21_events_stats.csv,
PL_PULSELIVE_HISTORICAL,team_match,2020-21,interceptionsInBox,pl_stats/A_Villa_7/events_stats/2020-21_events_stats.csv,
PL_PULSELIVE_HISTORICAL,team_match,2020-21,keeperGoals,pl_stats/A_Villa_7/events_stats/2020-21_events_stats.csv,
PL_PULSELIVE_HISTORICAL,team_match,2020-21,keeperThrows,pl_stats/A_Villa_7/events_stats/2020-21_events_stats.csv,
PL_PULSELIVE_HISTORICAL,team_match,2020-21,kickoff,pl_stats/A_Villa_7/events_stats/2020-21_events_stats.csv,
PL_PULSELIVE_HISTORICAL,team_match,2020-21,leftsidePass,pl_stats/A_Villa_7/events_stats/2020-21_events_stats.csv,
PL_PULSELIVE_HISTORICAL,team_match,2020-21,longPassOwnToOpp,pl_stats/A_Villa_7/events_stats/2020-21_events_stats.csv,
