"research_family","subclass","source_surface","resource","grain","field_name","field_type","semantic_status","canonical_attachment","relationship_kind","identity_contract","source_identity_required","notes"
"FPL","FPL Review","fpl","bootstrap-static.json","sample_payload","elements[].expected_goals_conceded_per_90","float","OBSERVED_IN_RAW_PAYLOAD","UNMAPPED_REVIEW","UNKNOWN","","FALSE","fpl\bootstrap-static.json"
"FPL","FPL Review","fpl","bootstrap-static.json","sample_payload","elements[].expected_goals_per_90","float","OBSERVED_IN_RAW_PAYLOAD","UNMAPPED_REVIEW","UNKNOWN","","FALSE","fpl\bootstrap-static.json"
"FPL","FPL Review","fpl","bootstrap-static.json","sample_payload","elements[].first_name","str","OBSERVED_IN_RAW_PAYLOAD","UNMAPPED_REVIEW","UNKNOWN","","FALSE","fpl\bootstrap-static.json"
"FPL","Gameweek & State","fpl","bootstrap-static.json","sample_payload","elements[].form","str","OBSERVED_IN_RAW_PAYLOAD","UNMAPPED_REVIEW","UNKNOWN","","FALSE","fpl\bootstrap-static.json"
"FPL","Gameweek & State","fpl","bootstrap-static.json","sample_payload","elements[].form_rank","int","OBSERVED_IN_RAW_PAYLOAD","UNMAPPED_REVIEW","UNKNOWN","","FALSE","fpl\bootstrap-static.json"
"FPL","Gameweek & State","fpl","bootstrap-static.json","sample_payload","elements[].form_rank_type","int","OBSERVED_IN_RAW_PAYLOAD","UNMAPPED_REVIEW","UNKNOWN","","FALSE","fpl\bootstrap-static.json"
"FPL","FPL Review","fpl","bootstrap-static.json","sample_payload","elements[].goals_conceded","int","OBSERVED_IN_RAW_PAYLOAD","UNMAPPED_REVIEW","UNKNOWN","","FALSE","fpl\bootstrap-static.json"
"FPL","FPL Review","fpl","bootstrap-static.json","sample_payload","elements[].goals_conceded_per_90","float","OBSERVED_IN_RAW_PAYLOAD","UNMAPPED_REVIEW","UNKNOWN","","FALSE","fpl\bootstrap-static.json"
"FPL","FPL Review","fpl","bootstrap-static.json","sample_payload","elements[].goals_scored","int","OBSERVED_IN_RAW_PAYLOAD","UNMAPPED_REVIEW","UNKNOWN","","FALSE","fpl\bootstrap-static.json"
"FPL","FPL Review","fpl","bootstrap-static.json","sample_payload","elements[].has_temporary_code","bool","OBSERVED_IN_RAW_PAYLOAD","UNMAPPED_REVIEW","UNKNOWN","","FALSE","fpl\bootstrap-static.json"
"FPL","Performance","fpl","bootstrap-static.json","sample_payload","elements[].ict_index","str","OBSERVED_IN_RAW_PAYLOAD","UNMAPPED_REVIEW","UNKNOWN","","FALSE","fpl\bootstrap-static.json"
"FPL","Gameweek & State","fpl","bootstrap-static.json","sample_payload","elements[].ict_index_rank","int","OBSERVED_IN_RAW_PAYLOAD","UNMAPPED_REVIEW","UNKNOWN","","FALSE","fpl\bootstrap-static.json"
"FPL","Gameweek & State","fpl","bootstrap-static.json","sample_payload","elements[].ict_index_rank_type","int","OBSERVED_IN_RAW_PAYLOAD","UNMAPPED_REVIEW","UNKNOWN","","FALSE","fpl\bootstrap-static.json"
"FPL","FPL Review","fpl","bootstrap-static.json","sample_payload","elements[].id","int","OBSERVED_IN_RAW_PAYLOAD","UNMAPPED_REVIEW","UNKNOWN","","FALSE","fpl\bootstrap-static.json"
"FPL","FPL Review","fpl","bootstrap-static.json","sample_payload","elements[].in_dreamteam","bool","OBSERVED_IN_RAW_PAYLOAD","UNMAPPED_REVIEW","UNKNOWN","","FALSE","fpl\bootstrap-static.json"
"FPL","Performance","fpl","bootstrap-static.json","sample_payload","elements[].influence","str","OBSERVED_IN_RAW_PAYLOAD","UNMAPPED_REVIEW","UNKNOWN","","FALSE","fpl\bootstrap-static.json"
"FPL","Gameweek & State","fpl","bootstrap-static.json","sample_payload","elements[].influence_rank","int","OBSERVED_IN_RAW_PAYLOAD","UNMAPPED_REVIEW","UNKNOWN","","FALSE","fpl\bootstrap-static.json"
"FPL","Gameweek & State","fpl","bootstrap-static.json","sample_payload","elements[].influence_rank_type","int","OBSERVED_IN_RAW_PAYLOAD","UNMAPPED_REVIEW","UNKNOWN","","FALSE","fpl\bootstrap-static.json"
