field_name,source_surface,resource,grain,player_link,fixture_link,club_link,matrix_class,canonical_attachment,relationship_kind,identity_contract
totalTackle,FRL_LOCAL_CSV,player_match,player_match,RELATIONSHIP_METADATA_PRESENT,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,FIXTURE_CLUB_VERIFIED,team_fixture,OBSERVATION,canonical_team_season_to_source_team
touches,FRL_LOCAL_CSV,player_match,player_match,RELATIONSHIP_METADATA_PRESENT,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,FIXTURE_CLUB_VERIFIED,team_fixture,OBSERVATION,canonical_team_season_to_source_team
unsuccessfulTouch,FRL_LOCAL_CSV,player_match,player_match,RELATIONSHIP_METADATA_PRESENT,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,FIXTURE_CLUB_VERIFIED,team_fixture,OBSERVATION,canonical_team_season_to_source_team
venue,FRL_LOCAL_CSV,player_match,player_match,RELATIONSHIP_METADATA_PRESENT,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,FIXTURE_CLUB_VERIFIED,team_fixture,OBSERVATION,canonical_team_season_to_source_team
wasFouled,FRL_LOCAL_CSV,player_match,player_match,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,NOT_IN_DIRECT_GRAIN,PLAYER_FIXTURE_VERIFIED,player_fixture,OBSERVATION,player_identity_to_player_match_observations
wonContest,FRL_LOCAL_CSV,player_match,player_match,RELATIONSHIP_METADATA_PRESENT,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,FIXTURE_CLUB_VERIFIED,team_fixture,OBSERVATION,canonical_team_season_to_source_team
wonTackle,FRL_LOCAL_CSV,player_match,player_match,RELATIONSHIP_METADATA_PRESENT,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,FIXTURE_CLUB_VERIFIED,team_fixture,OBSERVATION,canonical_team_season_to_source_team
aerialDuels,FRL_LOCAL_CSV,player_season,player_season,VERIFIED_METADATA_SCOPE,NOT_IN_DIRECT_GRAIN,NOT_IN_DIRECT_GRAIN,ONLY_PLAYER_VERIFIED,player_season,ENTITY,source_player_identity_to_player_season
aerialDuelsLost,FRL_LOCAL_CSV,player_season,player_season,VERIFIED_METADATA_SCOPE,NOT_IN_DIRECT_GRAIN,NOT_IN_DIRECT_GRAIN,ONLY_PLAYER_VERIFIED,player_season,ENTITY,source_player_identity_to_player_season
aerialDuelsWon,FRL_LOCAL_CSV,player_season,player_season,VERIFIED_METADATA_SCOPE,NOT_IN_DIRECT_GRAIN,NOT_IN_DIRECT_GRAIN,ONLY_PLAYER_VERIFIED,player_season,ENTITY,source_player_identity_to_player_season
appearances,FRL_LOCAL_CSV,player_season,player_season,VERIFIED_METADATA_SCOPE,NOT_IN_DIRECT_GRAIN,NOT_IN_DIRECT_GRAIN,ONLY_PLAYER_VERIFIED,player_season,ENTITY,source_player_identity_to_player_season
attemptsFromSetPieces,FRL_LOCAL_CSV,player_season,player_season,VERIFIED_METADATA_SCOPE,NOT_IN_DIRECT_GRAIN,NOT_IN_DIRECT_GRAIN,ONLY_PLAYER_VERIFIED,player_season,ENTITY,source_player_identity_to_player_season
awayGoals,FRL_LOCAL_CSV,player_season,player_season,VERIFIED_METADATA_SCOPE,NOT_IN_DIRECT_GRAIN,NOT_IN_DIRECT_GRAIN,ONLY_PLAYER_VERIFIED,player_season,ENTITY,source_player_identity_to_player_season
backwardPasses,FRL_LOCAL_CSV,player_season,player_season,VERIFIED_METADATA_SCOPE,NOT_IN_DIRECT_GRAIN,NOT_IN_DIRECT_GRAIN,ONLY_PLAYER_VERIFIED,player_season,ENTITY,source_player_identity_to_player_season
blockedShots,FRL_LOCAL_CSV,player_season,player_season,VERIFIED_METADATA_SCOPE,NOT_IN_DIRECT_GRAIN,NOT_IN_DIRECT_GRAIN,ONLY_PLAYER_VERIFIED,player_season,ENTITY,source_player_identity_to_player_season
blocks,FRL_LOCAL_CSV,player_season,player_season,VERIFIED_METADATA_SCOPE,NOT_IN_DIRECT_GRAIN,NOT_IN_DIRECT_GRAIN,ONLY_PLAYER_VERIFIED,player_season,ENTITY,source_player_identity_to_player_season
catches,FRL_LOCAL_CSV,player_season,player_season,VERIFIED_METADATA_SCOPE,NOT_IN_DIRECT_GRAIN,NOT_IN_DIRECT_GRAIN,ONLY_PLAYER_VERIFIED,player_season,ENTITY,source_player_identity_to_player_season
