grain,field_name,state
sample_payload,game_config.scoring.clearances_blocks_interceptions,FRL_ONLY
sample_payload,game_config.scoring.creativity,FRL_ONLY
sample_payload,game_config.scoring.defensive_contribution,FRL_ONLY
sample_payload,game_config.scoring.defensive_contribution.DEF,FRL_ONLY
sample_payload,game_config.scoring.defensive_contribution.FWD,FRL_ONLY
sample_payload,game_config.scoring.defensive_contribution.GKP,FRL_ONLY
sample_payload,game_config.scoring.defensive_contribution.MID,FRL_ONLY
sample_payload,game_config.scoring.expected_assists,FRL_ONLY
sample_payload,game_config.scoring.expected_goal_involvements,FRL_ONLY
sample_payload,game_config.scoring.expected_goals,FRL_ONLY
sample_payload,game_config.scoring.expected_goals_conceded,FRL_ONLY
sample_payload,game_config.scoring.goals_conceded,FRL_ONLY
sample_payload,game_config.scoring.goals_conceded.DEF,FRL_ONLY
sample_payload,game_config.scoring.goals_conceded.FWD,FRL_ONLY
sample_payload,game_config.scoring.goals_conceded.GKP,FRL_ONLY
sample_payload,game_config.scoring.goals_conceded.MID,FRL_ONLY
sample_payload,game_config.scoring.goals_scored,FRL_ONLY
sample_payload,game_config.scoring.goals_scored.DEF,FRL_ONLY
sample_payload,game_config.scoring.goals_scored.FWD,FRL_ONLY
sample_payload,game_config.scoring.goals_scored.GKP,FRL_ONLY
sample_payload,game_config.scoring.goals_scored.MID,FRL_ONLY
sample_payload,game_config.scoring.ict_index,FRL_ONLY
sample_payload,game_config.scoring.influence,FRL_ONLY
sample_payload,game_config.scoring.long_play,FRL_ONLY
sample_payload,game_config.scoring.mng_clean_sheets,FRL_ONLY
sample_payload,game_config.scoring.mng_clean_sheets.DEF,FRL_ONLY
sample_payload,game_config.scoring.mng_clean_sheets.FWD,FRL_ONLY
sample_payload,game_config.scoring.mng_clean_sheets.GKP,FRL_ONLY
sample_payload,game_config.scoring.mng_clean_sheets.MID,FRL_ONLY
sample_payload,game_config.scoring.mng_draw,FRL_ONLY
sample_payload,game_config.scoring.mng_draw.DEF,FRL_ONLY
sample_payload,game_config.scoring.mng_draw.FWD,FRL_ONLY
sample_payload,game_config.scoring.mng_draw.GKP,FRL_ONLY
sample_payload,game_config.scoring.mng_draw.MID,FRL_ONLY
sample_payload,game_config.scoring.mng_goals_scored,FRL_ONLY
sample_payload,game_config.scoring.mng_goals_scored.DEF,FRL_ONLY
sample_payload,game_config.scoring.mng_goals_scored.FWD,FRL_ONLY
sample_payload,game_config.scoring.mng_goals_scored.GKP,FRL_ONLY
sample_payload,game_config.scoring.mng_goals_scored.MID,FRL_ONLY
sample_payload,game_config.scoring.mng_loss,FRL_ONLY
sample_payload,game_config.scoring.mng_underdog_draw,FRL_ONLY
sample_payload,game_config.scoring.mng_underdog_draw.DEF,FRL_ONLY
sample_payload,game_config.scoring.mng_underdog_draw.FWD,FRL_ONLY
sample_payload,game_config.scoring.mng_underdog_draw.GKP,FRL_ONLY
sample_payload,game_config.scoring.mng_underdog_draw.MID,FRL_ONLY
sample_payload,game_config.scoring.mng_underdog_win,FRL_ONLY
sample_payload,game_config.scoring.mng_underdog_win.DEF,FRL_ONLY
sample_payload,game_config.scoring.mng_underdog_win.FWD,FRL_ONLY
sample_payload,game_config.scoring.mng_underdog_win.GKP,FRL_ONLY
sample_payload,game_config.scoring.mng_underdog_win.MID,FRL_ONLY
sample_payload,game_config.scoring.mng_win,FRL_ONLY
sample_payload,game_config.scoring.mng_win.DEF,FRL_ONLY
sample_payload,game_config.scoring.mng_win.FWD,FRL_ONLY
sample_payload,game_config.scoring.mng_win.GKP,FRL_ONLY
sample_payload,game_config.scoring.mng_win.MID,FRL_ONLY
sample_payload,game_config.scoring.own_goals,FRL_ONLY
sample_payload,game_config.scoring.penalties_missed,FRL_ONLY
sample_payload,game_config.scoring.penalties_saved,FRL_ONLY
sample_payload,game_config.scoring.recoveries,FRL_ONLY
sample_payload,game_config.scoring.red_cards,FRL_ONLY
sample_payload,game_config.scoring.saves,FRL_ONLY
sample_payload,game_config.scoring.short_play,FRL_ONLY
sample_payload,game_config.scoring.special_multiplier,FRL_ONLY
sample_payload,game_config.scoring.starts,FRL_ONLY
sample_payload,game_config.scoring.tackles,FRL_ONLY
sample_payload,game_config.scoring.threat,FRL_ONLY
sample_payload,game_config.scoring.yellow_cards,FRL_ONLY
sample_payload,game_config.settings,FRL_ONLY
sample_payload,game_config.settings.entry_per_event,FRL_ONLY
sample_payload,game_config.settings.price_change_deadlines,FRL_ONLY
sample_payload,game_config.settings.static_content_url,FRL_ONLY
sample_payload,game_config.settings.timezone,FRL_ONLY
sample_payload,game_settings,FRL_ONLY
sample_payload,game_settings.cup_qualifying_method,FRL_ONLY
sample_payload,game_settings.cup_start_event_id,FRL_ONLY
sample_payload,game_settings.cup_stop_event_id,FRL_ONLY
sample_payload,game_settings.cup_type,FRL_ONLY
sample_payload,game_settings.element_sell_at_purchase_price,FRL_ONLY
sample_payload,game_settings.featured_entries,FRL_ONLY
sample_payload,game_settings.league_h2h_tiebreak_stats,FRL_ONLY
sample_payload,game_settings.league_join_private_max,FRL_ONLY
sample_payload,game_settings.league_join_public_max,FRL_ONLY
sample_payload,game_settings.league_ko_first_instead_of_random,FRL_ONLY
sample_payload,game_settings.league_max_ko_rounds_private_h2h,FRL_ONLY
