season,player_code,source_player_id,shots,shots_on_target,shots_off_target,blocked_shots,xgot,touches,hit_woodwork,passes,accurate_passes,accurate_opposition_half_passes,long_balls,accurate_long_balls,successful_crosses,key_passes_rich,big_chances_created_rich,successful_dribbles,unsuccessful_dribbles,ball_carries,progressive_carries,progressive_carry_distance,total_progression,possession_lost,tackles_rich,tackles_won,interceptions_won,clearances,aerial_duels_won,aerial_duels_lost,duels_won,duels_lost,contests_won,blocks,recoveries_rich,errors_leading_to_shot,errors_leading_to_goal,fouls_conceded,fouls_won,penalties_won,penalties_conceded,saves_rich,saves_inside_box,high_claims,keeper_sweeper_actions,accurate_keeper_sweeper_actions,penalties_faced
2016-17,133801,284455,1.0,1.0,,,,42.0,,24.0,19.0,12.0,,,,1.0,,,,,,,,9.0,1.0,,,1.0,,5.0,4.0,14.0,,,2.0,,,4.0,3.0,,,,,,,,
2016-17,134383,787580,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-17,138009,536318,0.0,,,,,15.0,,10.0,7.0,4.0,,,,,,,,,,,,7.0,1.0,,,,,1.0,1.0,3.0,,,1.0,,,,,,,,,,,,
2016-17,14295,765,20.0,7.0,7.0,6.0,,1607.0,1.0,1222.0,937.0,570.0,179.0,102.0,5.0,25.0,3.0,,,,,,,409.0,42.0,25.0,44.0,35.0,17.0,37.0,108.0,135.0,27.0,2.0,207.0,1.0,2.0,22.0,23.0,,,,,,,,
2016-17,144660,786029,16.0,5.0,8.0,3.0,,1457.0,,1009.0,839.0,457.0,99.0,57.0,7.0,16.0,1.0,,,,,,,299.0,82.0,61.0,50.0,36.0,22.0,39.0,154.0,163.0,22.0,8.0,209.0,1.0,1.0,37.0,28.0,1.0,1.0,,,,,,
2016-17,14664,14468,32.0,15.0,13.0,4.0,,2075.0,1.0,1799.0,1615.0,924.0,128.0,97.0,1.0,20.0,1.0,,,,,,,248.0,42.0,27.0,16.0,39.0,39.0,28.0,118.0,111.0,27.0,4.0,131.0,,,26.0,10.0,,,,,,,,
2016-17,147675,190867,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-17,148179,106456,31.0,12.0,8.0,11.0,,468.0,,228.0,182.0,142.0,16.0,11.0,1.0,7.0,1.0,,,,,,,147.0,16.0,12.0,11.0,12.0,18.0,52.0,68.0,125.0,19.0,1.0,43.0,,,26.0,17.0,1.0,,,,,,,
2016-17,148225,191176,42.0,18.0,14.0,10.0,,992.0,2.0,608.0,494.0,368.0,20.0,13.0,8.0,25.0,7.0,,,,,,,297.0,17.0,14.0,9.0,9.0,21.0,37.0,110.0,143.0,44.0,1.0,82.0,,,26.0,28.0,,,,,,,,
2016-17,149016,791439,3.0,,,3.0,,196.0,,100.0,77.0,57.0,9.0,4.0,4.0,4.0,,,,,,,,64.0,12.0,11.0,6.0,2.0,1.0,7.0,27.0,38.0,8.0,,15.0,,,9.0,6.0,,,,,,,,
2016-17,149051,848455,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-17,149266,313442,23.0,5.0,14.0,4.0,,1585.0,2.0,1218.0,1009.0,261.0,282.0,163.0,,4.0,1.0,,,,,,,235.0,26.0,22.0,30.0,169.0,84.0,52.0,145.0,82.0,19.0,27.0,137.0,1.0,1.0,10.0,18.0,,1.0,,,,,,
2016-17,149484,303638,1.0,1.0,,,,395.0,,304.0,252.0,72.0,45.0,24.0,1.0,1.0,1.0,,,,,,,61.0,10.0,10.0,5.0,39.0,14.0,14.0,30.0,27.0,2.0,5.0,38.0,1.0,,7.0,4.0,,,,,,,,
2016-17,149828,238708,35.0,13.0,17.0,5.0,,614.0,2.0,423.0,299.0,204.0,13.0,10.0,,17.0,2.0,,,,,,,200.0,12.0,8.0,3.0,3.0,54.0,80.0,89.0,150.0,10.0,3.0,47.0,,,27.0,14.0,,,,,,,,
2016-17,15033,20375,14.0,3.0,6.0,5.0,,978.0,,652.0,441.0,129.0,128.0,33.0,1.0,4.0,,,,,,,,228.0,27.0,14.0,52.0,140.0,65.0,45.0,104.0,77.0,4.0,25.0,91.0,2.0,,20.0,8.0,1.0,1.0,,,,,,
2016-17,15109,9689,21.0,7.0,10.0,4.0,,1549.0,,1242.0,1017.0,480.0,217.0,128.0,1.0,19.0,1.0,,,,,,,271.0,34.0,24.0,49.0,69.0,22.0,14.0,78.0,84.0,7.0,11.0,181.0,1.0,,33.0,15.0,,2.0,,,,,,
2016-17,15114,20538,0.0,,,,,854.0,,725.0,648.0,280.0,34.0,20.0,,2.0,,,,,,,,97.0,23.0,13.0,20.0,19.0,7.0,2.0,45.0,39.0,6.0,5.0,90.0,1.0,,6.0,9.0,,,,,,,,
2016-17,15144,9004,0.0,,,,,583.0,,411.0,177.0,85.0,347.0,115.0,,,,,,,,,,244.0,,,,9.0,2.0,1.0,3.0,2.0,,,145.0,,,,1.0,,,63.0,35.0,20.0,7.0,5.0,7.0
2016-17,15149,15152,7.0,,4.0,3.0,,2325.0,,1655.0,1319.0,545.0,332.0,143.0,13.0,19.0,2.0,,,,,,,454.0,62.0,50.0,52.0,220.0,115.0,80.0,208.0,149.0,17.0,19.0,206.0,3.0,3.0,27.0,17.0,,2.0,,,,,,
2016-17,15157,791,36.0,17.0,9.0,10.0,,3322.0,,2166.0,1727.0,1148.0,304.0,131.0,53.0,59.0,3.0,,,,,,,765.0,94.0,61.0,44.0,101.0,56.0,64.0,202.0,183.0,31.0,5.0,207.0,1.0,,38.0,23.0,,1.0,,,,,,
2016-17,15208,326,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-17,15237,14695,8.0,2.0,4.0,2.0,,1512.0,,1318.0,1134.0,601.0,173.0,105.0,2.0,12.0,,,,,,,,210.0,15.0,8.0,42.0,38.0,17.0,29.0,58.0,75.0,12.0,4.0,129.0,,,17.0,17.0,,,,,,,,
2016-17,15276,1095,12.0,3.0,4.0,5.0,,774.0,,576.0,421.0,234.0,100.0,50.0,3.0,9.0,1.0,,,,,,,192.0,43.0,29.0,20.0,19.0,29.0,21.0,95.0,83.0,6.0,3.0,92.0,1.0,,20.0,17.0,,,,,,,,
2016-17,152760,190399,38.0,15.0,16.0,7.0,,724.0,2.0,391.0,298.0,225.0,14.0,12.0,5.0,16.0,2.0,,,,,,,275.0,11.0,9.0,3.0,2.0,31.0,89.0,91.0,187.0,19.0,2.0,43.0,,,22.0,31.0,,,,,,,,
2016-17,153133,352770,39.0,11.0,11.0,17.0,,1143.0,,896.0,785.0,591.0,33.0,19.0,4.0,27.0,2.0,,,,,,,197.0,19.0,15.0,8.0,4.0,4.0,10.0,64.0,68.0,28.0,4.0,98.0,,,7.0,13.0,,,,,,,,
2016-17,153256,159675,15.0,2.0,8.0,5.0,,705.0,,616.0,572.0,368.0,29.0,21.0,2.0,4.0,,,,,,,,56.0,22.0,13.0,7.0,5.0,5.0,5.0,35.0,28.0,3.0,,41.0,,,10.0,5.0,,,,,,,,
2016-17,153366,365802,0.0,,,,,50.0,,38.0,33.0,12.0,3.0,3.0,,,,,,,,,,6.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,8.0,,,6.0,,,1.0,,,,,,,,,
2016-17,153373,387082,1.0,,1.0,,,516.0,,301.0,225.0,136.0,39.0,11.0,4.0,2.0,1.0,,,,,,,142.0,16.0,12.0,14.0,25.0,21.0,11.0,40.0,28.0,,4.0,53.0,,,3.0,3.0,1.0,,,,,,,
2016-17,153379,548198,5.0,3.0,1.0,1.0,,129.0,,81.0,62.0,48.0,1.0,,,2.0,1.0,,,,,,,39.0,3.0,3.0,1.0,1.0,2.0,7.0,17.0,17.0,9.0,,14.0,,,2.0,3.0,,,,,,,,
2016-17,153673,361310,0.0,,,,,15.0,,9.0,6.0,4.0,1.0,,,,,,,,,,,7.0,,,,,1.0,,1.0,1.0,,,,,,1.0,,,,,,,,,
2016-17,153682,355528,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-17,154043,352768,0.0,,,,,5.0,,4.0,3.0,,,,,,,,,,,,,1.0,1.0,1.0,,,,,1.0,,,,2.0,,,,,,,,,,,,
2016-17,154050,833970,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-17,154051,845025,0.0,,,,,10.0,,8.0,8.0,6.0,,,,,,,,,,,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,
2016-17,154558,770279,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-17,154566,361420,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
