season,source_player_id,source_player_name,source_position,source_appearances,source_starts,source_minutes,expected_goals,expected_assists,accurate_opposition_half_passes,forward_passes,recoveries,tackles_won
2016-17,40669,Angelo Ogbonna,Defender,20.0,20.0,1755.0,0.1146,0.1896,261.0,350.0,91.0,22.0
2016-17,40725,Danny Simpson,Defender,35.0,34.0,2990.0,0.107,1.3038,393.0,572.0,175.0,40.0
2016-17,40755,Daniel Sturridge,Forward,20.0,7.0,769.0,3.9747,1.256,163.0,60.0,17.0,
2016-17,40784,Mamadou Sakho,Defender,8.0,8.0,687.0,0.1674,0.1811,54.0,100.0,59.0,2.0
2016-17,40833,Jérémy Pied,Defender,4.0,1.0,126.0,0.1002,0.297,34.0,29.0,11.0,2.0
2016-17,40868,José Holebas,Defender,33.0,33.0,2909.0,1.1065,3.3198,484.0,571.0,225.0,42.0
2016-17,41184,Marouane Fellaini,Midfielder,28.0,18.0,1599.0,2.1845,0.6093,537.0,301.0,139.0,41.0
2016-17,41251,Eduardo,Goalkeeper,,,,,,,,,
2016-17,41270,David Luiz,Defender,33.0,33.0,2956.0,1.7337,0.8842,371.0,596.0,196.0,28.0
2016-17,41320,Charlie Daniels,Defender,34.0,34.0,3060.0,1.7897,2.0879,788.0,585.0,166.0,42.0
2016-17,41321,Yohan Benalouane,Defender,11.0,11.0,920.0,0.5295,0.057,44.0,102.0,49.0,12.0
2016-17,41328,César Azpilicueta,Defender,38.0,38.0,3420.0,0.6304,3.1653,1061.0,1036.0,206.0,63.0
2016-17,41338,Craig Cathcart,Defender,15.0,13.0,1161.0,0.1544,0.9127,97.0,145.0,48.0,15.0
2016-17,41464,Marko Arnautovic,Forward,32.0,32.0,2724.0,8.8668,7.3114,482.0,218.0,155.0,27.0
2016-17,41674,Kevin Long,Defender,3.0,3.0,270.0,0.0361,0.0068,18.0,52.0,12.0,4.0
2016-17,41705,Brad Guzan,Goalkeeper,10.0,10.0,900.0,,0.0182,92.0,271.0,106.0,
2016-17,41725,Troy Deeney,Forward,37.0,31.0,2941.0,8.868,2.6921,351.0,259.0,68.0,13.0
2016-17,41733,Georginio Wijnaldum,Midfielder,36.0,33.0,2975.0,4.9218,3.5738,914.0,436.0,209.0,31.0
2016-17,41792,Aaron Ramsey,Midfielder,23.0,13.0,1229.0,3.2524,3.4928,510.0,219.0,93.0,10.0
2016-17,41823,Fabian Delph,Midfielder,7.0,2.0,220.0,0.2143,0.2239,117.0,43.0,17.0,3.0
2016-17,41945,Sebastian Prödl,Defender,33.0,32.0,2771.0,1.9447,0.4101,242.0,472.0,115.0,27.0
2016-17,42427,Kieran Gibbs,Defender,11.0,8.0,702.0,0.3023,0.74,204.0,119.0,43.0,7.0
2016-17,42593,Aleksandar Kolarov,Defender,29.0,27.0,2533.0,1.2933,1.9397,750.0,635.0,166.0,33.0
2016-17,42738,Juan Zuñiga,Defender,21.0,6.0,813.0,0.5095,0.4916,163.0,129.0,44.0,16.0
2016-17,42774,Morgan Schneiderlin,Midfielder,17.0,12.0,1070.0,0.9348,0.2506,380.0,257.0,89.0,19.0
2016-17,42786,Eden Hazard,Forward,36.0,36.0,3002.0,11.0729,9.2622,1257.0,406.0,170.0,12.0
2016-17,42892,Álvaro Negredo,Forward,36.0,33.0,2877.0,8.7848,2.6263,339.0,199.0,56.0,15.0
2016-17,42899,Sergio Romero,Goalkeeper,2.0,2.0,180.0,,0.0079,21.0,44.0,20.0,
2016-17,42996,Angel Rangel,Defender,18.0,8.0,823.0,0.259,0.8372,259.0,237.0,51.0,22.0
2016-17,43191,Lucas Leiva,Midfielder,24.0,12.0,1105.0,0.4946,0.5974,346.0,352.0,73.0,24.0
2016-17,43250,Tom Cleverley,Midfielder,27.0,20.0,1843.0,0.3847,1.174,409.0,266.0,107.0,31.0
2016-17,43626,Håvard Nordtveit,Defender,16.0,11.0,956.0,0.1494,0.3396,153.0,160.0,61.0,14.0
2016-17,43670,Juan Mata,Midfielder,25.0,19.0,1628.0,5.1457,4.3086,636.0,175.0,94.0,16.0
2016-17,43693,Martín Cáceres,Defender,1.0,1.0,90.0,0.0546,0.0071,14.0,15.0,3.0,1.0
2016-17,44302,Adlène Guédioura,Midfielder,17.0,9.0,857.0,0.5194,0.7075,200.0,125.0,67.0,22.0
2016-17,44336,Sofiane Féghouli,Midfielder,21.0,11.0,1038.0,2.5923,1.6268,205.0,111.0,62.0,11.0
2016-17,44343,Bakary Sako,Midfielder,7.0,,136.0,0.1263,0.1141,23.0,17.0,11.0,6.0
2016-17,44346,Olivier Giroud,Forward,29.0,11.0,1194.0,6.7449,2.3215,162.0,70.0,35.0,8.0
2016-17,44413,Steve Mandanda,Goalkeeper,9.0,9.0,810.0,,0.0254,65.0,208.0,76.0,
2016-17,44604,Nordin Amrabat,Forward,29.0,25.0,2101.0,1.0687,2.6354,304.0,204.0,138.0,34.0
2016-17,44683,Jay Rodriguez,Forward,24.0,9.0,881.0,4.3615,0.4384,117.0,60.0,24.0,6.0
2016-17,44699,Ashley Barnes,Forward,28.0,20.0,1775.0,7.0381,1.3894,173.0,187.0,93.0,16.0
2016-17,45076,Lamine Koné,Defender,30.0,29.0,2545.0,1.492,0.3092,182.0,392.0,132.0,28.0
2016-17,45124,André Ayew,Forward,25.0,16.0,1440.0,6.7802,1.2324,239.0,116.0,53.0,12.0
2016-17,45268,Moussa Sissoko,Midfielder,25.0,8.0,902.0,0.7944,0.6421,255.0,108.0,53.0,12.0
2016-17,47431,Willian,Forward,34.0,15.0,1529.0,3.02,3.2787,510.0,192.0,92.0,11.0
2016-17,48615,Harry Arter,Midfielder,35.0,33.0,2959.0,3.5846,1.4986,1029.0,561.0,195.0,62.0
2016-17,48717,Winston Reid,Defender,30.0,30.0,2589.0,0.8174,0.5221,218.0,387.0,162.0,27.0
2016-17,48844,David Ospina,Goalkeeper,2.0,1.0,142.0,,0.0017,6.0,32.0,9.0,
2016-17,49013,Victor Moses,Midfielder,34.0,29.0,2494.0,3.4315,3.4198,518.0,334.0,172.0,38.0
2016-17,49195,Jefferson Montero,Midfielder,13.0,2.0,375.0,0.1681,0.9086,47.0,29.0,19.0,5.0
2016-17,49207,Rudy Gestede,Forward,16.0,4.0,525.0,1.5383,0.4299,93.0,70.0,21.0,5.0
2016-17,49277,Leroy Fer,Midfielder,34.0,27.0,2403.0,5.0852,2.022,534.0,340.0,180.0,41.0
2016-17,49384,Jack Rodwell,Midfielder,20.0,17.0,1493.0,1.3502,0.7031,240.0,197.0,87.0,28.0
2016-17,49413,James Tomkins,Defender,24.0,23.0,1976.0,3.5526,0.5094,190.0,333.0,93.0,18.0
2016-17,49438,Jordon Mutch,Midfielder,4.0,,50.0,,0.0088,11.0,18.0,7.0,2.0
