season,source_family,source_file_family,source_field,registry_status,presence,source_files
2016-17,player_match,players_match_stats,totalTackle,UNCATALOGUED,PRESENT,20
2016-17,player_match,players_match_stats,touches,exposed,PRESENT,20
2016-17,player_match,players_match_stats,unsuccessfulTouch,UNCATALOGUED,PRESENT,20
2016-17,player_match,players_match_stats,venue,exposed,PRESENT,20
2016-17,player_match,players_match_stats,wasFouled,UNCATALOGUED,PRESENT,20
2016-17,player_match,players_match_stats,wonContest,exposed,PRESENT,20
2016-17,player_match,players_match_stats,wonTackle,exposed,PRESENT,20
2016-17,player_match,players_match_stats,ballCarriesCount,exposed,ABSENT,20
2016-17,player_match,players_match_stats,expectedAssists,exposed,ABSENT,20
2016-17,player_match,players_match_stats,expectedGoals,exposed,ABSENT,20
2016-17,player_match,players_match_stats,expectedGoalsOnTarget,exposed,ABSENT,20
2016-17,player_match,players_match_stats,progressiveBallCarriesCount,exposed,ABSENT,20
2016-17,player_match,players_match_stats,successfulDribbles,exposed,ABSENT,20
2016-17,player_match,players_match_stats,totalProgression,exposed,ABSENT,20
2016-17,player_match,players_match_stats,totalProgressiveBallCarriesDistance,exposed,ABSENT,20
2016-17,player_match,players_match_stats,unsuccessfulDribbles,exposed,ABSENT,20
2016-17,player_season,players_stats,aerialDuels,UNCATALOGUED,PRESENT,20
2016-17,player_season,players_stats,aerialDuelsLost,UNCATALOGUED,PRESENT,20
2016-17,player_season,players_stats,aerialDuelsWon,UNCATALOGUED,PRESENT,20
2016-17,player_season,players_stats,appearances,exposed,PRESENT,20
2016-17,player_season,players_stats,attemptsFromSetPieces,UNCATALOGUED,PRESENT,20
2016-17,player_season,players_stats,awayGoals,UNCATALOGUED,PRESENT,20
2016-17,player_season,players_stats,backwardPasses,UNCATALOGUED,PRESENT,20
2016-17,player_season,players_stats,blockedShots,UNCATALOGUED,PRESENT,20
2016-17,player_season,players_stats,blocks,UNCATALOGUED,PRESENT,20
2016-17,player_season,players_stats,catches,UNCATALOGUED,PRESENT,20
2016-17,player_season,players_stats,cleanSheets,UNCATALOGUED,PRESENT,20
2016-17,player_season,players_stats,clearancesOffTheLine,UNCATALOGUED,PRESENT,20
2016-17,player_season,players_stats,cornersTakenInclShortCorners,UNCATALOGUED,PRESENT,20
