field_name,source_surface,grain,resource,source_identity_required,relationship_note
playerId,FRL_LOCAL_CSV,player_match,player_match,FALSE,No deterministic relationship contract mapping; manual review required.
elements[].squad_number,fpl,player,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
elements[].starts,fpl,player,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
elements[].starts_per_90,fpl,player,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
elements[].status,fpl,player,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
elements[].tackles,fpl,player,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
elements[].team,fpl,player,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
elements[].team_code,fpl,player,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
elements[].team_join_date,fpl,player,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
elements[].threat,fpl,player,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
elements[].threat_rank,fpl,player,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
elements[].threat_rank_type,fpl,player,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
elements[].total_points,fpl,player,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
elements[].transfers_in,fpl,player,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
elements[].transfers_in_event,fpl,player_match,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
elements[].transfers_out,fpl,player,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
elements[].transfers_out_event,fpl,player_match,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
elements[].value_form,fpl,player,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
elements[].value_season,fpl,player,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
elements[].web_name,fpl,player,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
elements[].yellow_cards,fpl,player,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
events[].overrides.element_types,fpl,player_match,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
events[].top_element,fpl,player_match,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
events[].top_element_info,fpl,player_match,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
events[].top_element_info.id,fpl,player_match,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
events[].top_element_info.points,fpl,player_match,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
game_config.rules.element_sell_at_purchase_price,fpl,player,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
game_config.rules.squad_team_limit,fpl,team,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
game_settings.element_sell_at_purchase_price,fpl,player,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
game_settings.squad_team_limit,fpl,team,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
teams,fpl,team,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
teams[].code,fpl,team,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
teams[].draw,fpl,team,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
teams[].form,fpl,team,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
teams[].id,fpl,team,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
teams[].link_url,fpl,team,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
teams[].loss,fpl,team,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
teams[].name,fpl,team,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
teams[].played,fpl,team,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
teams[].points,fpl,team,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
teams[].position,fpl,team,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
teams[].pulse_id,fpl,team,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
teams[].short_name,fpl,team,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
teams[].strength,fpl,team,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
teams[].strength_attack_away,fpl,team,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
teams[].strength_attack_home,fpl,team,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
teams[].strength_defence_away,fpl,team,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
teams[].strength_defence_home,fpl,team,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
teams[].strength_overall_away,fpl,team,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
teams[].strength_overall_home,fpl,team,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
teams[].team_division,fpl,team,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
teams[].unavailable,fpl,team,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
teams[].win,fpl,team,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
total_players,fpl,player,bootstrap-static.json,FALSE,No deterministic relationship contract mapping; manual review required.
fixtures[].team_a,fpl,team_match,element,FALSE,No deterministic relationship contract mapping; manual review required.
fixtures[].team_a_score,fpl,team_match,element,FALSE,No deterministic relationship contract mapping; manual review required.
fixtures[].team_h,fpl,team_match,element,FALSE,No deterministic relationship contract mapping; manual review required.
fixtures[].team_h_score,fpl,team_match,element,FALSE,No deterministic relationship contract mapping; manual review required.
history[].element,fpl,player,element,FALSE,No deterministic relationship contract mapping; manual review required.
history[].opponent_team,fpl,team,element,FALSE,No deterministic relationship contract mapping; manual review required.
history[].team_a_score,fpl,team,element,FALSE,No deterministic relationship contract mapping; manual review required.
history[].team_h_score,fpl,team,element,FALSE,No deterministic relationship contract mapping; manual review required.
history_past[].element_code,fpl,player,element,FALSE,No deterministic relationship contract mapping; manual review required.
